,title,devanagari,verse_text,verse_text_no_samdhis
0,1.1,"धृतराष्ट्र उवाच ।
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥ १.१ ॥","dhṛtarāṣṭra uvāca
dharma-kṣetre kuru-kṣetre
samavetā yuyutsavaḥ
māmakāḥ pāṇḍavāś caiva
kim akurvata sañjaya",dhṛtarāṣṭraḥ uvāca dharma kṣetre kuru kṣetre samavetāḥ yuyutsavaḥ māmakāḥ pāṇḍavāḥ ca eva kim akurvata sañjaya
1,1.2,"सञ्जय उवाच ।
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा
आचार्यमुपसङ्गम्य राजा वचनमब्रवीत् ॥ १.२ ॥","sañjaya uvāca
dṛṣṭvā tu pāṇḍavānīkaṁ
vyūḍhaṁ duryodhanas tadā
ācāryam upasaṅgamya
rājā vacanam abravīt",sañjayaḥ uvāca dṛṣṭvā tu pāṇḍava anīkam vyūḍham duryodhanaḥ tadā ācāryam upasaṅgamya rājā vacanam abravīt
2,1.3,"पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् ।
व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥ १.३ ॥","paśyaitāṁ pāṇḍu-putrānām
ācārya mahatīṁ camūm
vyūḍhāṁ drupada-putreṇa
tava śiṣyeṇa dhīmatā",paśya etām pāṇḍu putrānām ācārya mahatīm camūm vyūḍhām drupada putreṇa tava śiṣyeṇa dhī matā
3,1.4,"अत्र शूरा महेष्वासा भीमार्जुनसमा युधि ।
युयुधानो विराटश्च द्रुपदश्च महारथः ॥ १.४ ॥","atra śūrā maheṣv-āsā
bhīmārjuna-samā yudhi
yuyudhāno virāṭaś ca
drupadaś ca mahā-rathaḥ",atra śūrāḥ mahā iṣu āsāḥ bhīma arjuna samāḥ yudhi yuyudhānaḥ virāṭaḥ ca drupadaḥ ca mahā rathaḥ
4,1.5,"धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् ।
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥ १.५ ॥","dhṛṣṭaketuś cekitānaḥ
kāśirājaś ca vīryavān
purujit kuntibhojaś ca
śaibyaś ca nara-puṅgavaḥ",dhṛṣṭaketuḥ cekitānaḥ kāśirājaḥ ca vīrya vān purujit kuntibhojaḥ ca śaibyaḥ ca nara puṅgavaḥ
5,1.6,"युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् ।
सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥ १.६ ॥","yudhāmanyuś ca vikrānta
uttamaujāś ca vīryavān
saubhadro draupadeyāś ca
sarva eva mahā-rathāḥ",yudhāmanyuḥ ca vikrāntaḥ uttamaujāḥ ca vīrya vān saubhadraḥ draupadeyāḥ ca sarve eva mahā rathāḥ
6,1.7,"अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम ।
नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ॥ १.७ ॥","asmākaṁ tu viśiṣṭā ye
tān nibodha dvijottama
nāyakā mama sainyasya
saṁjñārthaṁ tān bravīmi te",asmākam tu viśiṣṭāḥ ye tān nibodha dvija uttama nāyakāḥ mama sainyasya saṁjñā artham tān bravīmi te
7,1.8,"भवान्भीष्मश्च कर्णश्च कृपश्च समितिंजयः ।
अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥ १.८ ॥","bhavān bhīṣmaś ca karṇaś ca
kṛpaś ca samitiṁ-jayaḥ
aśvatthāmā vikarṇaś ca
saumadattis tathaiva ca",bhavān bhīṣmaḥ ca karṇaḥ ca kṛpaḥ ca samitim jayaḥ aśvatthāmā vikarṇaḥ ca saumadattiḥ tathā eva ca
8,1.9,"अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः ।
नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥ १.९ ॥","anye ca bahavaḥ śūrā
mad-arthe tyakta-jīvitāḥ
nānā-śastra-praharaṇāḥ
sarve yuddha-viśāradāḥ",anye ca bahavaḥ śūrāḥ mat arthe tyakta jīvitāḥ nānā śastra praharaṇāḥ sarve yuddha viśāradāḥ
9,1.10,"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् ।
पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥ १.१० ॥","aparyāptaṁ tad asmākaṁ
balaṁ bhīṣmābhirakṣitam
paryāptaṁ tv idam eteṣāṁ
balaṁ bhīmābhirakṣitam",aparyāptam tat asmākam balam bhīṣma abhirakṣitam paryāptam tu idam eteṣām balam bhīma abhirakṣitam
10,1.11,"अयनेषु च सर्वेषु यथाभागमवस्थिताः ।
भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ॥ १.११ ॥","ayaneṣu ca sarveṣu
yathā-bhāgam avasthitāḥ
bhīṣmam evābhirakṣantu
bhavantaḥ sarva eva hi",ayaneṣu ca sarveṣu yathā bhāgam avasthitāḥ bhīṣmam eva abhirakṣantu bhavantaḥ sarve eva hi
11,1.12,"तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः ।
सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् ॥ १.१२ ॥","tasya sañjanayan harṣaṁ
kuru-vṛddhaḥ pitāmahaḥ
siṁha-nādaṁ vinadyoccaiḥ
śaṅkhaṁ dadhmau pratāpavān",tasya sañjanayan harṣam kuru vṛddhaḥ pitāmahaḥ siṁha nādam vinadya uccaiḥ śaṅkham dadhmau pratāpa vān
12,1.13,"ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः ।
सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥ १.१३ ॥","tataḥ śaṅkhāś ca bheryaś ca
paṇavānaka-gomukhāḥ
sahasaivābhyahanyanta
sa śabdas tumulo ’bhavat",tataḥ śaṅkhāḥ ca bheryaḥ ca paṇava ānaka go mukhāḥ sahasā eva abhyahanyanta saḥ śabdaḥ tumulaḥ abhavat
